id,seller_id,buyer_id,status,created_at,total_value
1,114,2806,delivered,2023-08-22 05:25:59,1987.16
2,90,2586,processing,2024-07-19 03:57:54,24074.93
3,96,1849,completed,2024-06-14 22:16:15,2416.42
4,10,116,processing,2024-07-11 04:46:30,3871.48
5,16,2195,delivered,2023-09-07 20:06:40,15367.65
6,16,2463,completed,2023-10-25 04:28:55,29780.07
7,16,916,completed,2024-10-27 06:31:47,30976.31
8,96,2842,completed,2024-09-26 03:17:16,393.3
9,2,1730,completed,2023-10-07 18:19:35,6012.8
10,5,2337,completed,2023-12-31 15:20:35,8723.65
11,16,2293,completed,2024-01-05 05:53:26,16878.65
12,12,246,delivered,2023-08-10 10:46:47,5300.43
13,13,562,completed,2024-08-08 01:12:11,2388.79
14,87,2319,completed,2024-11-29 23:01:34,31557.09
15,47,522,delivered,2024-08-30 18:38:59,11024.13
16,1,1514,completed,2024-03-06 03:06:55,16730.94
17,25,2820,delivered,2024-10-09 02:39:18,20015.94
18,23,981,delivered,2024-04-27 16:45:25,34445.4
19,7,2968,delivered,2024-03-14 09:13:44,13490.73
20,66,2202,completed,2024-02-14 20:25:53,29060.79
21,70,2391,cancelled,2024-08-31 23:56:15,10366.38
22,74,224,completed,2023-09-24 14:06:49,17255.43
23,75,2705,delivered,2023-08-08 15:43:51,6252.52
24,1,945,completed,2024-11-11 21:03:43,11392.41
25,113,657,completed,2024-02-26 12:06:57,11934.13
26,89,1820,delivered,2024-05-25 15:08:35,21131.84
27,104,690,cancelled,2024-01-08 21:12:00,4717.45
28,1,100,delivered,2024-10-11 12:50:34,16482.39
29,109,2011,delivered,2024-07-11 21:30:26,21931.44
30,89,2897,processing,2024-10-03 00:16:12,1235.88
31,93,762,completed,2024-03-30 00:36:51,5938.33
32,6,2346,delivered,2023-12-15 15:49:57,5076.15
33,77,416,completed,2023-12-17 19:46:47,24831.32
34,114,1116,delivered,2023-08-17 02:12:38,7977.8
35,66,1007,delivered,2023-10-25 08:14:25,11374.26
36,48,2218,delivered,2024-09-11 19:39:21,17777.72
37,111,1670,completed,2024-08-23 03:34:51,492.4
38,27,1223,completed,2024-06-16 07:56:08,509.27
39,53,603,delivered,2024-11-01 14:24:40,18575.69
40,33,211,completed,2023-11-22 01:00:54,27053.09
41,109,1964,completed,2024-04-14 10:43:12,113.42
42,5,2913,delivered,2023-09-16 12:22:26,10741.5
43,37,1653,completed,2024-11-19 01:46:10,5472.47
44,68,1997,delivered,2024-09-03 05:07:33,12046.45
45,86,276,processing,2023-11-28 02:16:42,28325.43
46,50,1711,cancelled,2023-11-26 18:53:41,452.85
47,105,271,completed,2023-12-07 15:04:51,38460.87
48,111,2936,delivered,2024-03-04 16:16:38,12516.89
49,4,916,cancelled,2024-01-18 01:34:17,34673.6
50,23,1286,processing,2023-09-14 04:44:58,7899.89
51,2,2015,processing,2024-06-03 20:24:00,14370.14
52,19,338,cancelled,2023-08-07 14:15:45,12349.01
53,43,2857,delivered,2023-09-09 21:22:43,181.75
54,106,1503,delivered,2024-05-04 11:37:55,5477.03
55,95,697,refunded,2024-08-15 20:58:28,5418.9
56,8,2510,completed,2023-09-20 10:36:58,23839.64
57,6,132,completed,2024-04-20 01:02:07,29993.19
58,51,2729,completed,2024-02-03 22:37:27,652.52
59,42,517,completed,2023-09-27 01:03:39,10475.13
60,15,2738,processing,2024-10-02 20:16:01,13346.08
61,104,1596,completed,2024-08-21 12:15:06,25932.62
62,108,1290,processing,2024-10-14 01:36:24,13818.29
63,23,1712,completed,2023-08-08 03:58:08,24143.2
64,102,2069,completed,2024-05-30 10:59:34,15560.53
65,22,1669,delivered,2023-09-18 18:38:53,13888.7
66,76,2671,refunded,2024-10-24 03:51:03,4551.32
67,32,1121,delivered,2024-09-28 12:21:16,47047.8
68,7,821,completed,2024-06-29 14:28:09,7553.44
69,108,532,processing,2024-02-17 13:04:13,5549.1
70,29,1747,completed,2023-12-06 07:27:12,10305.36
71,76,498,refunded,2024-02-03 00:49:43,22174.04
72,21,1026,delivered,2024-11-24 20:00:44,37657.41
73,2,2099,cancelled,2024-06-08 14:23:12,10594.85
74,6,929,cancelled,2024-08-18 23:49:16,7781.5
75,36,1526,delivered,2024-06-18 18:06:33,11847.85
76,68,2260,delivered,2024-04-21 15:10:13,6329.14
77,19,1744,completed,2023-10-22 18:41:16,20309.6
78,69,1058,cancelled,2023-11-27 20:48:43,13160.64
79,70,1168,completed,2023-10-12 07:04:01,12496.66
80,71,2254,cancelled,2023-10-01 21:01:42,13279.66
81,35,214,completed,2023-10-13 06:09:30,42777.97
82,106,69,delivered,2023-11-07 09:08:24,3813.74
83,35,2792,delivered,2024-02-29 06:56:59,17814.89
84,28,2420,delivered,2024-10-23 04:53:03,11095.62
85,12,1662,delivered,2024-02-13 11:04:21,10625.75
86,18,2802,completed,2024-01-17 10:20:37,815.34
87,3,846,delivered,2023-11-23 04:02:47,11692.46
